Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),model size(KB)
LightGBM,1,1,1,1,0.563311576843262,344.5
XGBoost,0.999914675767918,1,0.999831365935919,0.999915675857998,0.344849824905395,98.1
Random_Forest,0.999914675767918,0.999831394368572,1,0.999915690076722,3.91740894317627,552.3
KNN,0.999061433447099,0.999325122321579,0.998819561551433,0.999072277979253,1.49846029281616,20000
Logistic_Regression,0.995648464163823,0.995282224094355,0.996121416526138,0.995701643489254,1.07022833824158,3.1
Naive_Bayes,0.993430034129693,0.990611902766136,0.9964586846543,0.993526691887348,0.0408499240875244,4.3
SVM,0.987030716723549,0.97910447761194,0.995615514333895,0.987290969899666,13.6167454719543,1300
